model,source_files,rows,unique_ids,duplicate_ids,parse_ok_rows,parse_ok_rate,common_ids_with_other_model
1.5b,3,1600,1600,0,1600,1.0,1600
3b,3,1600,1600,0,1592,0.995,1600
